dates;Itly;India;Spain;Germany;Korea, South
2020-01-22;0;0;0;0;1
2020-01-23;0;0;0;0;1
2020-01-24;0;0;0;0;2
2020-01-25;0;0;0;0;2
2020-01-26;0;0;0;0;3
2020-01-27;0;0;0;1;4
2020-01-28;0;0;0;4;4
2020-01-29;0;0;0;4;4
2020-01-30;0;1;0;4;4
2020-01-31;0;1;0;5;11
2020-02-01;0;1;1;8;12
2020-02-02;0;2;1;10;15
2020-02-03;0;3;1;12;15
2020-02-04;0;3;1;12;16
2020-02-05;0;3;1;12;19
2020-02-06;0;3;1;12;23
2020-02-07;0;3;1;13;24
2020-02-08;0;3;1;13;24
2020-02-09;0;3;2;14;25
2020-02-10;0;3;2;14;27
2020-02-11;0;3;2;16;28
2020-02-12;0;3;2;16;28
2020-02-13;0;3;2;16;28
2020-02-14;0;3;2;16;28
2020-02-15;0;3;2;16;28
2020-02-16;0;3;2;16;29
2020-02-17;0;3;2;16;30
2020-02-18;0;3;2;16;31
2020-02-19;0;3;2;16;31
2020-02-20;0;3;2;16;104
2020-02-21;0;3;2;16;204
2020-02-22;0;3;2;16;433
2020-02-23;0;3;2;16;602
2020-02-24;0;3;2;16;833
2020-02-25;0;3;6;17;977
2020-02-26;0;3;13;27;1261
2020-02-27;0;3;15;46;1766
2020-02-28;0;3;32;48;2337
2020-02-29;0;3;45;79;3150
2020-03-01;0;3;84;130;3736
2020-03-02;0;5;120;159;4335
2020-03-03;0;5;165;196;5186
2020-03-04;0;28;222;262;5621
2020-03-05;0;30;259;482;6088
2020-03-06;0;31;400;670;6593
2020-03-07;0;34;500;799;7041
2020-03-08;0;39;673;1040;7314
2020-03-09;0;43;1073;1176;7478
2020-03-10;0;56;1695;1457;7513
2020-03-11;0;62;2277;1908;7755
2020-03-12;0;73;2277;2078;7869
2020-03-13;0;82;5232;3675;7979
2020-03-14;0;102;6391;4585;8086
2020-03-15;0;113;7798;5795;8162
2020-03-16;0;119;9942;7272;8236
2020-03-17;0;142;11748;9257;8320
2020-03-18;0;156;13910;12327;8413
2020-03-19;0;194;17963;15320;8565
2020-03-20;0;244;20410;19848;8652
2020-03-21;0;330;25374;22213;8799
2020-03-22;0;396;28768;24873;8961
2020-03-23;0;499;35136;29056;8961
2020-03-24;0;536;39885;32986;9037
2020-03-25;0;657;49515;37323;9137
2020-03-26;0;727;57786;43938;9241
2020-03-27;0;887;65719;50871;9332
2020-03-28;0;987;73235;57695;9478
2020-03-29;0;1024;80110;62095;9583
2020-03-30;0;1251;87956;66885;9661
2020-03-31;0;1397;95923;71808;9786
2020-04-01;0;1998;104118;77872;9887
2020-04-02;0;2543;112065;84794;9976
2020-04-03;0;2567;119199;91159;10062
2020-04-04;0;3082;126168;96092;10156
2020-04-05;0;3588;131646;100123;10237
2020-04-06;0;4778;136675;103374;10284
2020-04-07;0;5311;141942;107663;10331
2020-04-08;0;5916;148220;113296;10384
2020-04-09;0;6725;153222;118181;10423
2020-04-10;0;7598;158273;122171;10450
2020-04-11;0;8446;163027;124908;10480
2020-04-12;0;9205;166831;127854;10512
2020-04-13;0;10453;170099;130072;10537
2020-04-14;0;11487;172541;131359;10564
2020-04-15;0;12322;177644;134753;10591
2020-04-16;0;13430;184948;137698;10613
2020-04-17;0;14352;190839;141397;10635
2020-04-18;0;15722;191726;143342;10653
2020-04-19;0;17615;198674;145184;10661
2020-04-20;0;18539;200210;147065;10674
2020-04-21;0;20080;204178;148291;10683
2020-04-22;0;21370;208389;150648;10694
2020-04-23;0;23077;213024;153129;10708
2020-04-24;0;24530;202990;154999;10718
2020-04-25;0;26283;205905;156513;10728
2020-04-26;0;27890;207634;157770;10738
2020-04-27;0;29451;209465;158758;10752
2020-04-28;0;31324;210773;159912;10761
2020-04-29;0;33062;212917;161539;10765
2020-04-30;0;34863;213435;163009;10774
2020-05-01;0;37257;215216;164077;10780
2020-05-02;0;39699;216582;164967;10793
2020-05-03;0;42505;217466;165664;10801
2020-05-04;0;46437;218011;166152;10804
2020-05-05;0;49400;219329;167007;10806
2020-05-06;0;52987;220325;168162;10810
2020-05-07;0;56351;221447;169430;10822
2020-05-08;0;59695;222857;170588;10840
2020-05-09;0;62808;223578;171324;10874
2020-05-10;0;67161;224350;171879;10909
2020-05-11;0;70768;227436;172576;10936
2020-05-12;0;74292;228030;173171;10962
2020-05-13;0;78055;228691;174098;10991
2020-05-14;0;81997;229540;174478;11018
2020-05-15;0;85784;230183;175233;11037
2020-05-16;0;90648;230698;175752;11050
2020-05-17;0;95698;230698;176369;11065
2020-05-18;0;100328;231606;176551;11078
2020-05-19;0;106475;232037;177778;11110
2020-05-20;0;112028;232555;178473;11122
2020-05-21;0;118226;233037;179021;11142
2020-05-22;0;124794;234824;179710;11165
2020-05-23;0;131423;235290;179986;11190
2020-05-24;0;138536;235772;180328;11206
2020-05-25;0;144950;235400;180600;11225
2020-05-26;0;150793;236259;181200;11265
2020-05-27;0;158086;236259;181524;11344
2020-05-28;0;165386;237906;182196;11402
2020-05-29;0;173491;238564;182922;11441
2020-05-30;0;181827;239228;183189;11468
2020-05-31;0;190609;239479;183410;11503
2020-06-01;0;198370;239638;183594;11541
2020-06-02;0;207191;239932;183879;11590
2020-06-03;0;216824;240326;184121;11629
2020-06-04;0;226713;240660;184472;11668
2020-06-05;0;236184;240978;184924;11719
2020-06-06;0;246622;241310;185450;11776
2020-06-07;0;257486;241550;185750;11814
2020-06-08;0;265928;241717;186109;11852
2020-06-09;0;276146;241966;186506;11902
2020-06-10;0;286605;242280;186522;11947
2020-06-11;0;297535;242707;186691;12003
2020-06-12;0;308993;243209;187226;12051
2020-06-13;0;320922;243605;187267;12085
2020-06-14;0;332424;243928;187518;12121
2020-06-15;0;343091;244109;187682;12155
2020-06-16;0;354065;244328;188252;12198
2020-06-17;0;366946;244683;188604;12257
2020-06-18;0;380532;245268;189817;12306
2020-06-19;0;395048;245575;190299;12373
2020-06-20;0;410451;245938;190670;12421
2020-06-21;0;425282;246272;191272;12438
2020-06-22;0;440215;246504;191768;12484
